subject,session,trial,sample_in_trial,trial_length,position_pct,true_label,pred_label
0,0,2,0,206,0.0,0,2
0,0,2,1,206,0.5,0,2
0,0,2,2,206,1.0,0,2
0,0,2,3,206,1.5,0,2
0,0,2,4,206,1.9,0,2
0,0,2,5,206,2.4,0,2
0,0,2,6,206,2.9,0,2
0,0,2,7,206,3.4,0,2
0,0,2,8,206,3.9,0,2
0,0,2,9,206,4.4,0,2
0,0,2,10,206,4.9,0,2
0,0,2,11,206,5.3,0,2
0,0,2,12,206,5.8,0,2
0,0,2,13,206,6.3,0,2
0,0,2,14,206,6.8,0,2
0,0,2,15,206,7.3,0,2
0,0,2,16,206,7.8,0,2
0,0,2,17,206,8.3,0,2
0,0,2,18,206,8.7,0,2
0,0,2,19,206,9.2,0,2
0,0,2,20,206,9.7,0,2
0,0,2,21,206,10.2,0,2
0,0,2,22,206,10.7,0,2
0,0,2,23,206,11.2,0,2
0,0,2,24,206,11.7,0,2
0,0,2,25,206,12.1,0,2
0,0,2,26,206,12.6,0,2
0,0,2,27,206,13.1,0,2
0,0,2,28,206,13.6,0,2
0,0,2,29,206,14.1,0,2
0,0,2,30,206,14.6,0,2
0,0,2,31,206,15.0,0,2
0,0,2,32,206,15.5,0,2
0,0,2,33,206,16.0,0,2
0,0,2,34,206,16.5,0,2
0,0,2,35,206,17.0,0,2
0,0,2,36,206,17.5,0,2
0,0,2,37,206,18.0,0,2
0,0,2,38,206,18.4,0,2
0,0,2,39,206,18.9,0,2
0,0,2,40,206,19.4,0,2
0,0,2,41,206,19.9,0,2
0,0,2,42,206,20.4,0,2
0,0,2,43,206,20.9,0,2
0,0,2,44,206,21.4,0,2
0,0,2,45,206,21.8,0,2
0,0,2,46,206,22.3,0,2
0,0,2,47,206,22.8,0,2
0,0,2,48,206,23.3,0,2
0,0,2,49,206,23.8,0,2
0,0,2,50,206,24.3,0,2
0,0,2,51,206,24.8,0,2
0,0,2,52,206,25.2,0,2
0,0,2,53,206,25.7,0,2
0,0,2,54,206,26.2,0,2
0,0,2,55,206,26.7,0,2
0,0,2,56,206,27.2,0,2
0,0,2,57,206,27.7,0,2
0,0,2,58,206,28.2,0,2
0,0,2,59,206,28.6,0,2
0,0,2,60,206,29.1,0,2
0,0,2,61,206,29.6,0,2
0,0,2,62,206,30.1,0,2
0,0,2,63,206,30.6,0,2
0,0,2,64,206,31.1,0,2
0,0,2,65,206,31.6,0,2
0,0,2,66,206,32.0,0,2
0,0,2,67,206,32.5,0,2
0,0,2,68,206,33.0,0,2
0,0,2,69,206,33.5,0,2
0,0,2,70,206,34.0,0,2
0,0,2,71,206,34.5,0,2
0,0,2,72,206,35.0,0,2
0,0,2,73,206,35.4,0,2
0,0,2,74,206,35.9,0,2
0,0,2,75,206,36.4,0,2
0,0,2,76,206,36.9,0,2
0,0,2,77,206,37.4,0,2
0,0,2,78,206,37.9,0,2
0,0,2,79,206,38.3,0,2
0,0,2,80,206,38.8,0,2
0,0,2,81,206,39.3,0,2
0,0,2,82,206,39.8,0,2
0,0,2,83,206,40.3,0,2
0,0,2,84,206,40.8,0,2
0,0,2,85,206,41.3,0,2
0,0,2,86,206,41.7,0,2
0,0,2,87,206,42.2,0,2
0,0,2,88,206,42.7,0,2
0,0,2,89,206,43.2,0,2
0,0,2,90,206,43.7,0,2
