subject,session,trial,sample_in_trial,trial_length,position_pct,true_label,pred_label
0,0,0,33,235,14.0,1,0
0,0,0,34,235,14.5,1,0
0,0,0,35,235,14.9,1,0
0,0,0,36,235,15.3,1,0
0,0,0,37,235,15.7,1,0
0,0,0,38,235,16.2,1,0
0,0,0,39,235,16.6,1,0
0,0,0,40,235,17.0,1,0
0,0,0,41,235,17.4,1,0
0,0,0,42,235,17.9,1,0
0,0,0,43,235,18.3,1,0
0,0,0,44,235,18.7,1,0
0,0,0,45,235,19.1,1,0
0,0,0,46,235,19.6,1,0
0,0,0,47,235,20.0,1,0
0,0,0,48,235,20.4,1,0
0,0,0,49,235,20.9,1,0
0,0,0,50,235,21.3,1,0
0,0,0,51,235,21.7,1,0
0,0,0,52,235,22.1,1,0
0,0,0,53,235,22.6,1,0
0,0,0,54,235,23.0,1,0
0,0,0,55,235,23.4,1,0
0,0,0,56,235,23.8,1,0
0,0,0,57,235,24.3,1,0
0,0,0,58,235,24.7,1,0
0,0,0,59,235,25.1,1,0
0,0,0,60,235,25.5,1,0
0,0,0,61,235,26.0,1,0
0,0,0,62,235,26.4,1,0
0,0,0,63,235,26.8,1,0
0,0,0,64,235,27.2,1,0
0,0,0,65,235,27.7,1,0
0,0,0,66,235,28.1,0,1
0,0,0,67,235,28.5,0,1
0,0,0,68,235,28.9,0,1
0,0,0,69,235,29.4,0,1
0,0,0,70,235,29.8,0,1
0,0,0,71,235,30.2,0,1
0,0,0,72,235,30.6,0,1
0,0,0,73,235,31.1,0,1
0,0,1,141,233,60.5,0,1
0,0,1,142,233,60.9,0,1
0,0,1,143,233,61.4,0,1
0,0,1,144,233,61.8,0,1
0,0,1,145,233,62.2,0,1
1,0,0,39,235,16.6,1,0
1,0,0,40,235,17.0,1,0
1,0,0,41,235,17.4,1,0
1,0,0,42,235,17.9,1,0
1,0,0,43,235,18.3,1,0
1,0,0,44,235,18.7,1,0
1,0,0,155,235,66.0,2,1
1,0,0,156,235,66.4,2,1
1,0,0,157,235,66.8,2,1
1,0,0,158,235,67.2,2,1
1,0,0,159,235,67.7,2,1
1,0,0,160,235,68.1,2,1
1,0,0,161,235,68.5,2,1
1,0,0,162,235,68.9,2,1
1,0,0,163,235,69.4,2,1
1,0,0,164,235,69.8,2,1
1,0,0,165,235,70.2,2,1
1,0,0,166,235,70.6,2,1
1,0,0,167,235,71.1,2,1
1,0,0,168,235,71.5,2,1
1,0,0,169,235,71.9,2,1
1,0,0,170,235,72.3,2,1
1,0,0,171,235,72.8,2,1
1,0,0,172,235,73.2,2,1
1,0,0,173,235,73.6,2,1
1,0,0,174,235,74.0,2,1
1,0,0,175,235,74.5,2,1
1,0,0,176,235,74.9,2,1
1,0,0,177,235,75.3,2,1
1,0,0,178,235,75.7,2,1
1,0,0,179,235,76.2,2,1
1,0,0,180,235,76.6,2,1
1,0,0,181,235,77.0,2,1
1,0,1,10,233,4.3,2,0
1,0,1,11,233,4.7,2,0
1,0,1,12,233,5.2,2,0
1,0,1,13,233,5.6,2,0
1,0,1,14,233,6.0,2,0
1,0,1,15,233,6.4,2,0
1,0,1,16,233,6.9,2,0
1,0,1,80,233,34.3,1,2
1,0,1,81,233,34.8,1,2
1,0,1,82,233,35.2,1,2
1,0,1,83,233,35.6,1,2
1,0,1,84,233,36.1,1,2
1,0,1,85,233,36.5,1,2
1,0,1,86,233,36.9,1,2
1,0,1,87,233,37.3,1,2
1,0,1,88,233,37.8,1,2
1,0,1,89,233,38.2,1,2
1,0,1,90,233,38.6,1,2
1,0,1,91,233,39.1,1,2
1,0,1,92,233,39.5,1,2
1,0,1,93,233,39.9,1,2
1,0,1,94,233,40.3,1,2
1,0,1,95,233,40.8,1,2
1,0,1,96,233,41.2,1,2
1,0,1,97,233,41.6,1,2
1,0,1,98,233,42.1,1,2
1,0,1,99,233,42.5,1,2
1,0,1,100,233,42.9,1,2
1,0,1,101,233,43.3,1,2
1,0,1,102,233,43.8,1,2
1,0,1,103,233,44.2,1,2
1,0,1,104,233,44.6,1,2
1,0,1,105,233,45.1,1,2
1,0,1,106,233,45.5,1,2
